keyword,category,brand,type,normalized
diapers,Diapers,,generic,diapers
mamypoko,Diapers,Mamypoko,brand,mamypoko
huggies,Diapers,Huggies,brand,huggies
drypers,Diapers,Drypers,brand,drypers
mooni,Diapers,Mooni,brand,mooni
pampers,Diapers,Pampers,brand,pampers
merries,Diapers,Merries,brand,merries
ninonana,Diapers,Nino Nana,brand,nino nana
nino nana,Diapers,Nino Nana,brand,nino nana
offspring,Diapers,Offspring,brand,offspring
rascal & friends,Diapers,Rascal & Friends,brand,rascal & friends
r&f,Diapers,Rascal & Friends,brand,rascal & friends
rnf,Diapers,Rascal & Friends,brand,rascal & friends
rascal and friends,Diapers,Rascal & Friends,brand,rascal & friends
peachy bum,Diapers,Peachy Bum,brand,peachy bum
applecrumby,Diapers,Applecrumby,brand,applecrumby
hey tiger,Diapers,Hey Tiger,brand,hey tiger
homie,Diapers,Homie,brand,homie
bzu bzu,Diapers,Bzu Bzu,brand,bzu bzu
zappy,Diapers,Zappy,brand,zappy
diaper rash,Diapers,,symptom,diaper rash
leak,Diapers,,symptom,leak
overnight,Diapers,,function,overnight
absorbent for overnight,Diapers,,function,overnight
soft,Diapers,,function,soft
size up,Diapers,,function,size up
fm,FM,,generic,formula milk
bm,FM,,generic,breast milk
formula milk,FM,,generic,formula milk
formula,FM,,generic,formula milk
nan,FM,Nan,brand,nan
nestle,FM,Nestle,brand,nestle
lactogen,FM,Lactogen,brand,lactogen
friso,FM,Friso,brand,friso
frisolac,FM,Friso,brand,friso
friso gold,FM,Friso,brand,friso
enfa,FM,Enfamil,brand,enfamil
enfamil,FM,Enfamil,brand,enfamil
enfagrow,FM,Enfamil,brand,enfamil
nod,FM,Nature One Dairy,brand,nature one dairy
nature one dairy,FM,Nature One Dairy,brand,nature one dairy
dumex,FM,Dumex,brand,dumex
dugro,FM,Dugro,brand,dugro
aptamil,FM,Aptamil,brand,aptamil
aptamil gold+,FM,Aptamil,brand,aptamil
aptamil cesarbiotik,FM,Aptamil,brand,aptamil
abbott,FM,Abbott,brand,abbott
abbott grow,FM,Abbott,brand,abbott
similac,FM,Similac,brand,similac
similac gain,FM,Similac,brand,similac
pediasure,FM,Pediasure,brand,pediasure
bellamy organic,FM,Bellamy,brand,bellamy
s26,FM,S26,brand,s26
fairprice gold,FM,Fairprice,brand,fairprice
karihome,FM,Karihome,brand,karihome
kendamil,FM,Kendamil,brand,kendamil
hipp,FM,Hipp,brand,hipp
fresh milk,FM,,generic,fresh milk
uht,FM,,generic,uht milk
uht milk,FM,,generic,uht milk
constipation,FM,,symptom,constipation
diarrhea,FM,,symptom,diarrhea
heaty,FM,,symptom,heaty
transitioning,FM,,behavior,transition
transition,FM,,behavior,transition
mix feed,FM,,behavior,mix feed
stage 1,FM,,stage,stage 1
stage 2,FM,,stage,stage 2
stage 3,FM,,stage,stage 3
cheap fm,FM,,behavior,cheap fm
switch,FM,,behavior,switch
sensitive tummy,FM,,symptom,sensitive tummy
gerber,Gerber,Gerber,brand,gerber
little blossom,Gerber,Little Blossom,brand,little blossom
bellamy's,Gerber,Bellamy's,brand,bellamy's
cerelac,Gerber,Cerelac,brand,cerelac
heinz,Gerber,Heinz,brand,heinz
weaning,Gerber,,stage,weaning
first food,Gerber,,stage,first food
trainsitioning,Gerber,,behavior,transition
trainsition ,Gerber,,behavior,trainsition 
solid,Gerber,,food type,solids
solids,Gerber,,food type,solids
puree,Gerber,,food form,puree
pouch,Gerber,,food form,pouch
blw,Gerber,,method,baby-led weaning
baby-led,Gerber,,method,baby-led weaning
picky eater,Gerber,,symptom,picky eater
allergy,Gerber,,symptom,allergy
recipes,Gerber,,other,recipes
organic,Gerber,,function,organic
kkh,Hospitals,KKH,hospital,kkh
nuh,Hospitals,NUH,hospital,nuh
sgh,Hospitals,SGH,hospital,sgh
thomson medical,Hospitals,Thomson Medical,hospital,thomson medical
tmc,Hospitals,Thomson Medical,hospital,thomson medical
mount alvernia,Hospitals,Mount Alvernia,hospital,mount alvernia
mount a ,Hospitals,Mount Alvernia,hospital,mount alvernia
mount elizabeth,Hospitals,Mount Elizaheth,hospital,mount elizabeth
mount e,Hospitals,Mount Elizaheth,hospital,mount elizabeth
mount elizabeth novena,Hospitals,Mount Elizaheth,hospital,mount elizabeth
mount e novena,Hospitals,Mount Elizaheth,hospital,mount elizabeth
parkway east,Hospitals,Parkway East,hospital,parkway east
raffles hospital,Hospitals,Raffles Hospital,hospital,raffles hospital
raffles  ,Hospitals,Raffles Hospital,hospital,raffles hospital
gleneagle,Hospitals,Gleneagles,hospital,gleneagles
natural birth,Hospitals,,procedure,natural birth
c-sect,Hospitals,,procedure,caesarean
csect,Hospitals,,procedure,caesarean
cesaerian,Hospitals,,procedure,caesarean
epidural,Hospitals,,procedure,epidural
postnatal ward,Hospitals,,facility,postnatal ward
pd,Hospitals,,role,paediatrician
gynae rec,Hospitals,,recommendation,gynae rec
vaccine,Hospitals,,service,vaccine
emergency walk-in,Hospitals,,behavior,emergency walk-in
confinement,Hospitals,,practice,confinement
